id,doors,engine_size,color,fuel_type,seats,body_type,brand,model,spec,prod_year,description,registration,mileage,value
,4,2.0,Black,Petrol,5,Saloon,Audi,A4,S line,2021,Luxury sedan with advanced technology features,EM71 WDY,10000,28000
,5,1.5,White,Petrol,5,Hatchback,Audi,A3 Sportback,S line,2022,Compact hatchback with upgraded interior features,OY72 ZAM,5000,24000
,2,2.0,Red,Petrol,2,Convertible,Audi,TT Roadster,S line,2020,Luxurious convertible with retractable soft top,GX20 BUE,20000,33000
,2,2.5,Blue,Petrol,4,Coupe,Audi,TT Coupe,S line,2021,Sporty two-door coupe with advanced technology features,AU71 YOR,15000,37000
,5,2.0,Silver,Diesel,5,Estate,Audi,A4 Avant,S line,2022,Stylish and practical estate with advanced features,RF72 XKY,8000,27000
,5,3.0,Grey,Petrol,7,Seven-Seater,Audi,Q7,S line,2020,Luxury seven-seater SUV with advanced safety features,FG20 YOF,25000,45000
,5,2.0,Green,Petrol,5,SUV,Audi,Q5,S line,2021,Stylish and sporty SUV with advanced technology features,AB21 ECB,12000,35000
,5,1.4,Black,Hybrid,5,Hatchback,Audi,A3 Sportback e-tron,S line,2022,Efficient and eco-friendly hatchback with advanced features,JH72 TIJ,3000,28000
,4,0,White,Electric,4,Coupe,Audi,e-tron GT,S line,2023,High-performance electric coupe with advanced features,DJ23 ZCO,500,100000
,4,2.0,Black,Petrol,5,Saloon,BMW,3 Series,M Sport,2021,Sporty and luxurious sedan with advanced technology features,DA71 JXU,10000,30000
,5,1.5,White,Petrol,5,Hatchback,BMW,1 Series,Sport,2022,Compact and stylish hatchback with advanced features,HF22 VQP,5000,22000
,2,2.0,Red,Petrol,4,Convertible,BMW,4 Series Convertible,M Sport,2020,Sleek and stylish convertible with retractable hard top,QZ70 JOT,20000,37000
,2,3.0,Blue,Petrol,4,Coupe,BMW,2 Series Coupe,M Sport,2021,Sporty two-door coupe with advanced features,RL21 TAC,15000,34000
,5,2.0,Silver,Diesel,5,Estate,BMW,3 Series Touring,M Sport,2022,Practical and stylish estate with advanced features,ZB72 DTO,8000,29000
,7,2.0,Grey,Petrol,7,Seven-Seater,BMW,2 Series Gran Tourer,M Sport,2020,Versatile and spacious seven-seater with advanced features,DY20 QBK,25000,32000
,5,3.0,Green,Diesel,5,SUV,BMW,X5,M Sport,2021,Powerful and luxurious SUV with advanced technology features,NJ21 ITM,12000,50000
,5,2.0,Black,Hybrid,5,Saloon,BMW,7 Series Hybrid,M Sport,2022,Luxurious and eco-friendly hybrid sedan with advanced features,YX22 MGX,3000,60000
,5,0,White,Electric,5,Hatchback,BMW,i3,Sport,2023,Stylish and eco-friendly electric hatchback with advanced features,EF73 OIK,500,35000
,4,1.5,Blue,Petrol,5,Saloon,Ford,Fusion,Titanium,2022,Comfortable and spacious sedan with advanced features,RE22 UKJ,5000,18000
,5,1.0,Red,Petrol,5,Hatchback,Ford,Fiesta,ST-Line,2021,Fun and stylish hatchback with advanced features,KL71 NME,10000,15000
,2,5.0,Black,Petrol,4,Convertible,Ford,Mustang Convertible,GT,2020,Powerful and stylish convertible with advanced features,QG70 VOG,20000,35000
,2,5.0,Yellow,Petrol,4,Coupe,Ford,Mustang Coupe,GT,2021,Iconic and powerful two-door coupe with advanced features,GR71 GQK,15000,32000
,5,2.0,White,Diesel,5,Estate,Ford,Focus Estate,ST-Line,2022,Spacious and practical estate with advanced features,EV22 DVE,8000,20000
,7,2.0,Silver,Diesel,7,Seven-Seater,Ford,Galaxy,Titanium,2020,Versatile and spacious seven-seater with advanced features,FO20 HHH,25000,22000
,5,3.0,Grey,Petrol,5,SUV,Ford,Explorer,ST-Line,2021,Powerful and spacious SUV with advanced technology features,YS21 LAT,12000,45000
,5,2.0,Blue,Hybrid,5,Saloon,Ford,Fusion Hybrid,Titanium,2022,Eco-friendly and comfortable hybrid sedan with advanced features,WC22 YEJ,3000,22000
,5,0,Black,Electric,5,SUV,Ford,Mustang Mach-E,GT,2023,Stylish and eco-friendly electric SUV with advanced features,CR23 EZA,500,50000
,4,2.5,Blue,Petrol,5,Saloon,Nissan,Altima,SL,2021,Luxurious and spacious sedan with advanced features,MZ71 JOH,10000,20000
,5,0,White,Electric,5,Hatchback,Nissan,Leaf,S,2022,Eco-friendly and practical hatchback with advanced features,BD72 UWX,5000,25000
,2,3.7,Red,Petrol,2,Convertible,Nissan,370Z Roadster,NISMO,2020,Powerful and stylish convertible with advanced features,LP70 YJI,20000,35000
,2,3.7,Black,Petrol,2,Coupe,Nissan,370Z Coupe,NISMO,2021,Iconic and powerful two-door coupe with advanced features,HR21 MGL,15000,32000
,5,2.5,Silver,Petrol,5,Estate,Nissan,Stagea,Autech,2002,Spacious and practical estate with advanced features,KH52 JTQ,60000,10000
,4,2.9,Black,Petrol,4,Saloon,Porsche,Panamera,4S,2021,Luxurious and sporty sedan with advanced features,ML71 AJK,5000,90000
,2,2.0,White,Petrol,2,Hatchback,Porsche,718 Cayman,S,2022,Agile and dynamic sports car with advanced features,MT72 VSE,1000,60000
,2,3.0,Red,Petrol,4,Convertible,Porsche,911 Cabriolet,Turbo S,2021,Iconic and powerful convertible with advanced features,YN71 JMY,2000,150000
,2,3.0,Silver,Petrol,2,Coupe,Porsche,911 Coupe,GTS,2021,Iconic and powerful coupe with advanced features,MG21 FHZ,5000,140000
,5,2.9,Blue,Petrol,5,Estate,Porsche,Panamera,GTS Sport Turismo,2020,Spacious and sporty estate with advanced features,OT70 LHE,10000,80000
,5,3.0,Gray,Petrol,5,SUV,Porsche,Cayenne,Coupe Turbo S,2022,Luxurious and powerful SUV coupe with advanced features,MR22 GHN,100,200000
,4,2.9,White,Hybrid,4,Saloon,Porsche,Panamera Hybrid,4 E-Hybrid,2021,Powerful and eco-friendly hybrid sedan with advanced features,MZ71 HUM,5000,100000
,4,0,Black,Electric,4,Saloon,Porsche,Taycan,Turbo S,2022,Stylish and eco-friendly electric sports sedan with advanced features,OA72 EMM,500,150000
,2,4.0,Orange,Petrol,2,Coupe,Porsche,911 GT3 RS,,2021,Track-inspired and high-performance coupe with advanced features,DA21 ZXM,100,250000
